parent_station,service_hour,from_line,from_direction,to_line,to_direction,comparable_connections,mean_extra_transfer_wait_seconds,missed_scheduled_connection_rate
place-dwnxg,8,Red,1,Orange,1,871,195.58668197474168,0.3145809414466131
place-dwnxg,9,Orange,0,Red,0,613,61.64926590538336,0.19738988580750402
place-dwnxg,9,Orange,0,Red,1,891,73.9371492704826,0.318742985409652
place-dwnxg,9,Orange,1,Red,0,619,57.64943457189015,0.1857835218093699
place-dwnxg,9,Orange,1,Red,1,899,77.86651835372636,0.339265850945495
place-dwnxg,9,Red,0,Orange,0,551,64.97096188747732,0.40834845735027225
place-dwnxg,9,Red,0,Orange,1,551,63.439201451905625,0.4573502722323049
place-dwnxg,9,Red,1,Orange,0,844,88.59715639810426,0.32701421800947866
place-dwnxg,9,Red,1,Orange,1,844,107.85545023696683,0.3578199052132701
place-dwnxg,10,Orange,0,Red,0,533,54.46529080675422,0.2288930581613508
place-dwnxg,10,Orange,0,Red,1,779,79.71245186136072,0.30166880616174585
place-dwnxg,10,Orange,1,Red,0,592,67.93243243243244,0.20439189189189183
place-dwnxg,10,Orange,1,Red,1,855,77.05964912280702,0.2807017543859649
place-dwnxg,10,Red,0,Orange,0,519,77.77649325626204,0.37764932562620424
place-dwnxg,10,Red,0,Orange,1,519,72.60308285163777,0.45664739884393063
place-dwnxg,10,Red,1,Orange,0,774,98.88113695090439,0.34108527131782945
place-dwnxg,10,Red,1,Orange,1,774,66.84496124031008,0.3888888888888889
place-dwnxg,11,Orange,0,Red,0,488,76.27049180327869,0.2889344262295082
place-dwnxg,11,Orange,0,Red,1,714,55.43557422969187,0.25630252100840334
place-dwnxg,11,Orange,1,Red,0,505,54.53861386138614,0.20792079207920788
place-dwnxg,11,Orange,1,Red,1,735,78.25578231292516,0.27210884353741494
place-dwnxg,11,Red,0,Orange,0,516,72.2422480620155,0.3992248062015503
place-dwnxg,11,Red,0,Orange,1,516,74.67829457364341,0.43410852713178294
place-dwnxg,11,Red,1,Orange,0,795,72.38238993710692,0.4427672955974843
place-dwnxg,11,Red,1,Orange,1,795,67.89182389937108,0.4100628930817609
place-dwnxg,12,Orange,0,Red,0,497,74.12072434607646,0.24346076458752508
place-dwnxg,12,Orange,0,Red,1,731,82.12311901504788,0.29274965800273595
place-dwnxg,12,Orange,1,Red,0,493,87.26166328600405,0.2271805273833671
place-dwnxg,12,Orange,1,Red,1,732,77.9672131147541,0.25819672131147536
place-dwnxg,12,Red,0,Orange,0,503,67.53677932405567,0.4671968190854871
place-dwnxg,12,Red,0,Orange,1,503,79.41948310139165,0.5467196819085487
place-dwnxg,12,Red,1,Orange,0,812,69.99384236453201,0.3817733990147783
place-dwnxg,12,Red,1,Orange,1,812,68.67487684729063,0.41748768472906395
place-dwnxg,13,Orange,0,Red,0,488,69.32786885245902,0.24999999999999994
place-dwnxg,13,Orange,0,Red,1,738,65.78184281842819,0.2466124661246612
place-dwnxg,13,Orange,1,Red,0,481,79.8066528066528,0.22869022869022865
place-dwnxg,13,Orange,1,Red,1,734,59.37738419618529,0.2397820163487738
place-dwnxg,13,Red,0,Orange,0,503,90.97415506958251,0.5069582504970178
