line,to_station,service_hour,comparable_observations,mean_excess_travel_seconds
Green,place-amory,16,932,0.9431330472103004
Green,place-amory,17,925,3.23027027027027
Green,place-amory,18,974,0.9014373716632443
Green,place-amory,19,931,0.7980665950590763
Green,place-amory,20,925,0.8335135135135135
Green,place-amory,21,902,2.738359201773836
Green,place-amory,22,882,1.8174603174603174
Green,place-amory,23,886,1.7212189616252822
Green,place-armnl,0,3315,1.588838612368024
Green,place-armnl,1,842,1.0546318289786223
Green,place-armnl,2,82,1.5975609756097562
Green,place-armnl,3,2,2.0
Green,place-armnl,4,1,0.0
Green,place-armnl,5,1700,0.12705882352941172
Green,place-armnl,6,3581,0.8190449595085172
Green,place-armnl,7,3745,3.2990654205607477
Green,place-armnl,8,3955,2.994690265486726
Green,place-armnl,9,3967,1.6498613561885556
Green,place-armnl,10,3940,2.834517766497462
Green,place-armnl,11,3872,2.212551652892562
Green,place-armnl,12,3861,3.4532504532504533
Green,place-armnl,13,3782,1.3651507139079853
Green,place-armnl,14,3857,2.7277676950998186
Green,place-armnl,15,3839,1.9143005991143527
Green,place-armnl,16,3893,2.1507834574877984
Green,place-armnl,17,3773,3.516565067585476
Green,place-armnl,18,3941,5.104034509007866
Green,place-armnl,19,3880,2.7979381443298967
Green,place-armnl,20,3882,2.1584234930448223
Green,place-armnl,21,3835,2.815645371577575
Green,place-armnl,22,3706,2.135456017269293
Green,place-armnl,23,3685,3.466214382632293
Green,place-babck,0,762,21.242782152230973
Green,place-babck,1,264,0.7310606060606061
Green,place-babck,2,32,0.0
Green,place-babck,3,2,0.0
Green,place-babck,5,444,1.1441441441441442
Green,place-babck,6,944,0.6726694915254238
Green,place-babck,7,1028,10.582684824902724
Green,place-babck,8,1046,2.795411089866157
Green,place-babck,9,1073,3.423112767940354
Green,place-babck,10,1047,19.0945558739255
Green,place-babck,11,1045,6.244976076555024
Green,place-babck,12,998,2.934869739478958
Green,place-babck,13,1025,39.13170731707317
Green,place-babck,14,1002,7.521956087824352
Green,place-babck,15,1041,2.3688760806916425
Green,place-babck,16,997,6.979939819458376
Green,place-babck,17,1011,14.88921859545005
Green,place-babck,18,1020,4.215686274509804
Green,place-babck,19,1003,11.386839481555334
Green,place-babck,20,994,2.1167002012072436
Green,place-babck,21,954,60.16142557651992
Green,place-babck,22,938,11.123667377398721
Green,place-babck,23,956,65.26778242677824
Green,place-balsq,0,841,2.816884661117717
Green,place-balsq,1,491,7.30142566191446
Green,place-balsq,2,53,4.962264150943396
Green,place-balsq,3,5,28.0
Green,place-balsq,4,115,0.1217391304347826
Green,place-balsq,5,1009,0.755203171456888
Green,place-balsq,6,1369,3.704163623082542
Green,place-balsq,7,1197,10.608187134502923
Green,place-balsq,8,1128,12.26950354609929
Green,place-balsq,9,1132,8.37279151943463
Green,place-balsq,10,1174,9.40885860306644
Green,place-balsq,11,1184,7.023648648648648
Green,place-balsq,12,1142,17.345008756567424
Green,place-balsq,13,1122,11.223707664884136
Green,place-balsq,14,1165,11.282403433476395
Green,place-balsq,15,1145,13.644541484716157
Green,place-balsq,16,1169,13.783575705731394
Green,place-balsq,17,1155,10.503896103896103
Green,place-balsq,18,1162,3.306368330464716
Green,place-balsq,19,1191,4.668345927791772
Green,place-balsq,20,1197,1.8395989974937343
Green,place-balsq,21,1156,8.082179930795848
Green,place-balsq,22,1128,8.570921985815604
Green,place-balsq,23,1154,7.979202772963605
Green,place-bckhl,0,1024,1.0234374999999998
Green,place-bckhl,1,224,1.0044642857142858
Green,place-bckhl,2,40,4.775
Green,place-bckhl,4,2,0.0
Green,place-bckhl,5,344,0.005813953488372084
Green,place-bckhl,6,843,0.49110320284697506
Green,place-bckhl,7,1000,2.35
Green,place-bckhl,8,1007,1.028798411122145
Green,place-bckhl,9,1025,1.3726829268292684
Green,place-bckhl,10,943,1.063626723223754
Green,place-bckhl,11,1000,1.17
Green,place-bckhl,12,953,1.6002098635886675
Green,place-bckhl,13,1016,1.108267716535433
Green,place-bckhl,14,970,4.942268041237114
Green,place-bckhl,15,1022,1.2661448140900196
Green,place-bckhl,16,982,0.4185336048879837
Green,place-bckhl,17,978,0.3905930470347648
Green,place-bckhl,18,1027,1.7215189873417722
Green,place-bckhl,19,1031,1.5053346265761396
Green,place-bckhl,20,1034,0.8539651837524178
Green,place-bckhl,21,1006,2.1540755467196817
Green,place-bckhl,22,1057,0.89120151371807
Green,place-bckhl,23,1015,1.4926108374384237
Green,place-bcnfd,0,765,1.6836601307189543
Green,place-bcnfd,1,408,13.291666666666666
Green,place-bcnfd,2,48,0.0
Green,place-bcnfd,3,5,286.6
Green,place-bcnfd,4,92,0.0
Green,place-bcnfd,5,521,0.1420345489443378
Green,place-bcnfd,6,921,0.10097719869706842
Green,place-bcnfd,7,971,5.075180226570546
Green,place-bcnfd,8,1062,4.718455743879472
Green,place-bcnfd,9,1069,4.483629560336763
Green,place-bcnfd,10,1024,4.5029296875
Green,place-bcnfd,11,1097,4.087511394712854
Green,place-bcnfd,12,1059,0.5750708215297451
Green,place-bcnfd,13,1058,1.4735349716446124
Green,place-bcnfd,14,1062,0.6892655367231638
Green,place-bcnfd,15,1049,0.5710200190657769
Green,place-bcnfd,16,1066,7.27110694183865
Green,place-bcnfd,17,1034,4.80174081237911
Green,place-bcnfd,18,1075,8.083720930232559
Green,place-bcnfd,19,1104,0.7065217391304348
Green,place-bcnfd,20,1111,6.502250225022502
Green,place-bcnfd,21,1083,0.1348107109879963
Green,place-bcnfd,22,1041,1.3419788664745438
Green,place-bcnfd,23,1012,0.33300395256917
Green,place-bcnwa,0,737,3.42876526458616
Green,place-bcnwa,1,235,1.574468085106383
Green,place-bcnwa,2,33,2.0
Green,place-bcnwa,4,3,2.6666666666666665
Green,place-bcnwa,5,615,8.8130081300813
Green,place-bcnwa,6,956,7.706066945606694
Green,place-bcnwa,7,1023,8.265884652981427
Green,place-bcnwa,8,1091,9.172318973418882
Green,place-bcnwa,9,1096,9.239051094890511
Green,place-bcnwa,10,1053,6.646723646723647
Green,place-bcnwa,11,1072,5.726679104477612
Green,place-bcnwa,12,1038,5.835260115606936
Green,place-bcnwa,13,1035,5.606763285024154
Green,place-bcnwa,14,1047,6.730659025787966
Green,place-bcnwa,15,1074,5.592178770949721
Green,place-bcnwa,16,1076,6.7481412639405205
Green,place-bcnwa,17,1017,5.918387413962635
Green,place-bcnwa,18,1046,5.239961759082218
Green,place-bcnwa,19,1062,5.409604519774011
Green,place-bcnwa,20,1052,6.85171102661597
Green,place-bcnwa,21,1037,12.53616200578592
Green,place-bcnwa,22,993,6.308157099697885
Green,place-bcnwa,23,891,4.79685746352413
Green,place-bland,0,761,8.654402102496714
Green,place-bland,1,216,2.2083333333333335
Green,place-bland,2,28,1.0714285714285714
Green,place-bland,3,1,9.0
Green,place-bland,5,366,11.959016393442623
Green,place-bland,6,890,4.522471910112359
Green,place-bland,7,945,0.8423280423280424
Green,place-bland,8,986,0.5720081135902637
Green,place-bland,9,1000,2.755
Green,place-bland,10,1000,0.09999999999999999
Green,place-bland,11,970,0.4515463917525773
Green,place-bland,12,951,0.4384858044164038
Green,place-bland,13,933,0.16720257234726685
Green,place-bland,14,935,0.0160427807486631
Green,place-bland,15,952,0.004201680672268903
Green,place-bland,16,928,7.129310344827585
Green,place-bland,17,915,5.779234972677596
Green,place-bland,18,969,6.632610939112487
Green,place-bland,19,936,0.07264957264957264
Green,place-bland,20,922,2.1941431670281997
Green,place-bland,21,886,5.262979683972912
Green,place-bland,22,871,5.09873708381171
Green,place-bland,23,887,5.497181510710259
Green,place-bndhl,0,420,25.261904761904763
Green,place-bndhl,1,136,31.03676470588235
Green,place-bndhl,2,19,24.57894736842105
Green,place-bndhl,3,1,0.0
Green,place-bndhl,5,332,4.807228915662651
Green,place-bndhl,6,559,19.617173524150267
Green,place-bndhl,7,588,17.321428571428573
Green,place-bndhl,8,628,20.5843949044586
Green,place-bndhl,9,625,22.9568
Green,place-bndhl,10,617,21.52350081037277
Green,place-bndhl,11,616,21.564935064935064
Green,place-bndhl,12,595,22.34453781512605
Green,place-bndhl,13,591,22.33502538071066
Green,place-bndhl,14,599,21.103505843071787
Green,place-bndhl,15,642,20.24454828660436
Green,place-bndhl,16,621,20.78743961352657
Green,place-bndhl,17,599,18.073455759599334
Green,place-bndhl,18,603,18.78441127694859
Green,place-bndhl,19,612,19.191176470588236
Green,place-bndhl,20,632,19.743670886075947
Green,place-bndhl,21,605,21.044628099173554
Green,place-bndhl,22,563,31.243339253996446
Green,place-bndhl,23,523,21.45889101338432
Green,place-boyls,0,3300,7.388181818181818
Green,place-boyls,1,843,3.8018979833926454
Green,place-boyls,2,77,1.4025974025974026
Green,place-boyls,3,2,212.0
Green,place-boyls,4,1,0.0
Green,place-boyls,5,1709,2.1193680514921005
Green,place-boyls,6,3517,3.0108046630651124
Green,place-boyls,7,3748,4.778281750266809
Green,place-boyls,8,3907,6.564627591502432
Green,place-boyls,9,3960,6.349494949494949
Green,place-boyls,10,3906,8.629800307219663
Green,place-boyls,11,3871,4.1645569620253164
Green,place-boyls,12,3839,3.611617608752279
Green,place-boyls,13,3753,3.5819344524380496
Green,place-boyls,14,3842,3.3453930244664236
Green,place-boyls,15,3834,7.019561815336464
Green,place-boyls,16,3851,5.962087769410543
Green,place-boyls,17,3759,7.80659749933493
Green,place-boyls,18,3917,8.017615522083227
Green,place-boyls,19,3850,8.555064935064935
Green,place-boyls,20,3834,5.485915492957746
Green,place-boyls,21,3851,5.709945468709426
Green,place-boyls,22,3658,5.576544559868781
Green,place-boyls,23,3663,6.982254982254982
Green,place-brico,0,787,5.5997458703939005
Green,place-brico,1,280,26.85
Green,place-brico,2,32,7.71875
Green,place-brico,3,1,0.0
Green,place-brico,5,492,0.0
Green,place-brico,6,1007,9.01588877855015
Green,place-brico,7,1071,9.984126984126984
Green,place-brico,8,1136,8.119718309859154
Green,place-brico,9,1119,9.233243967828418
Green,place-brico,10,1126,19.356127886323264
Green,place-brico,11,1111,10.573357335733574
Green,place-brico,12,1054,8.653700189753321
Green,place-brico,13,1086,8.358195211786372
Green,place-brico,14,1070,8.104672897196261
Green,place-brico,15,1087,9.81048758049678
Green,place-brico,16,1085,7.1013824884792625
Green,place-brico,17,1068,7.8277153558052435
Green,place-brico,18,1075,35.43255813953488
Green,place-brico,19,1085,6.569585253456221
Green,place-brico,20,1066,39.890243902439025
Green,place-brico,21,1045,5.555980861244019
Green,place-brico,22,974,20.4958932238193
Green,place-brico,23,1032,15.59108527131783
Green,place-brkhl,0,785,15.898089171974522
Green,place-brkhl,1,388,22.182989690721648
Green,place-brkhl,2,37,23.54054054054054
Green,place-brkhl,3,2,6.5
Green,place-brkhl,4,65,0.6461538461538462
Green,place-brkhl,5,513,2.7309941520467835
Green,place-brkhl,6,923,4.95124593716143
Green,place-brkhl,7,988,2.1184210526315788
Green,place-brkhl,8,1067,2.884723523898782
Green,place-brkhl,9,1052,4.723384030418251
Green,place-brkhl,10,1024,5.224609375
