parent_station,station_name,service_hour,time_period,from_line,to_line,from_late_over_5_minutes,to_late_over_5_minutes,combined_late_exposure
place-north,North Station,23,Night,Green,Orange,0.24589166159464396,0.0831275720164609,0.3085788568036488
place-pktrm,Park Street,0,Early / night,Green,Red,0.22244355909694555,0.16363636363636364,0.34968006760835446
place-pktrm,Park Street,1,Early / night,Green,Red,0.19812583668005354,0.14814814814814814,0.31692200902374934
place-pktrm,Park Street,2,Early / night,Green,Red,0.18181818181818182,1.0,1.0
place-pktrm,Park Street,5,Early / night,Green,Red,0.06854531607006854,0.03804347826086957,0.10398109208914208
place-pktrm,Park Street,6,Early / night,Green,Red,0.12532637075718014,0.14020857473928158,0.24796311367535073
place-pktrm,Park Street,7,Morning peak (7-9 AM),Green,Red,0.10144482016600062,0.17412935323383086,0.25790965247540354
place-pktrm,Park Street,8,Morning peak (7-9 AM),Green,Red,0.15422127400182872,0.26589077887197854,0.3791060382108322
place-pktrm,Park Street,9,Midday (9 AM-4 PM),Green,Red,0.18753709198813057,0.34079844206426485,0.46442318527357784
place-pktrm,Park Street,10,Midday (9 AM-4 PM),Green,Red,0.22053000304599452,0.34723788049605414,0.4911915126985691
place-pktrm,Park Street,11,Midday (9 AM-4 PM),Green,Red,0.19862604540023895,0.4365175332527207,0.5484398272751044
place-pktrm,Park Street,12,Midday (9 AM-4 PM),Green,Red,0.20097294010337488,0.4896551724137931,0.592220672880343
place-pktrm,Park Street,13,Midday (9 AM-4 PM),Green,Red,0.21911632100991885,0.4145408163265306,0.5428244787545315
place-pktrm,Park Street,14,Midday (9 AM-4 PM),Green,Red,0.21546299071021877,0.3840104849279161,0.5167334280914847
place-pktrm,Park Street,15,Midday (9 AM-4 PM),Green,Red,0.2659198113207547,0.3340961098398169,0.5111731466689694
place-pktrm,Park Street,16,Evening peak (4-6 PM),Green,Red,0.2673733804475854,0.356651376146789,0.5286656725127241
place-pktrm,Park Street,17,Evening peak (4-6 PM),Green,Red,0.2824773413897281,0.43504171632896305,0.5946296302964614
place-pktrm,Park Street,18,Night,Green,Red,0.2654095130875317,0.5129716981132075,0.6422336425768285
place-pktrm,Park Street,19,Night,Green,Red,0.2778590231061714,0.4389027431421446,0.5948086788002208
place-pktrm,Park Street,20,Night,Green,Red,0.2237442922374429,0.34902411021814006,0.4946762499410219
place-pktrm,Park Street,21,Night,Green,Red,0.21656050955414013,0.25443037974683547,0.41589131661694745
place-pktrm,Park Street,22,Night,Green,Red,0.2956030897207368,0.27023498694516973,0.4859557795742714
place-pktrm,Park Street,23,Night,Green,Red,0.272613849033063,0.21052631578947367,0.42574777555241816
place-state,State,0,Early / night,Blue,Orange,0.1887905604719764,0.04388422035480859,0.22438985427012492
place-state,State,1,Early / night,Blue,Orange,0.16022099447513813,0.0425531914893617,0.19595627130598325
place-state,State,2,Early / night,Blue,Orange,1.0,0.6666666666666666,1.0
place-state,State,5,Early / night,Blue,Orange,0.06324110671936758,0.028846153846153848,0.09026299787169345
place-state,State,6,Early / night,Blue,Orange,0.13553113553113552,0.0743801652892562,0.19983047255774522
place-state,State,7,Morning peak (7-9 AM),Blue,Orange,0.24173318129988597,0.11408450704225352,0.32823967751778627
place-state,State,8,Morning peak (7-9 AM),Blue,Orange,0.2884066247858367,0.11794138670478914,0.3723329342285364
place-state,State,9,Midday (9 AM-4 PM),Blue,Orange,0.3784119106699752,0.11452095808383234,0.4495967741935485
place-state,State,10,Midday (9 AM-4 PM),Blue,Orange,0.5133689839572193,0.11989100817438691,0.5717116670795146
place-state,State,11,Midday (9 AM-4 PM),Blue,Orange,0.5379644588045234,0.0802407221664995,0.5750385242966378
place-state,State,12,Midday (9 AM-4 PM),Blue,Orange,0.37334933973589435,0.07677902621722846,0.4214629672093556
place-state,State,13,Midday (9 AM-4 PM),Blue,Orange,0.32792485055508114,0.06594399277326106,0.3722441693531652
place-state,State,14,Midday (9 AM-4 PM),Blue,Orange,0.3570422535211268,0.11600338696020322,0.43162752978497576
place-state,State,15,Midday (9 AM-4 PM),Blue,Orange,0.33178807947019867,0.166412213740458,0.4429867044133259
place-state,State,16,Evening peak (4-6 PM),Blue,Orange,0.4104774535809019,0.191131498470948,0.5231537812603931
place-state,State,17,Evening peak (4-6 PM),Blue,Orange,0.4744186046511628,0.22450592885375495,0.5924147440022061
place-state,State,18,Night,Blue,Orange,0.4964936886395512,0.15402843601895735,0.5740479783040753
place-state,State,19,Night,Blue,Orange,0.45645161290322583,0.11856474258970359,0.5208972875044036
place-state,State,20,Night,Blue,Orange,0.4118150684931507,0.11153119092627599,0.4774160343889997
place-state,State,21,Night,Blue,Orange,0.368474923234391,0.10078192875760209,0.4321212385296218
place-state,State,22,Night,Blue,Orange,0.28116469517743403,0.08885017421602788,0.34503333724355056
place-state,State,23,Night,Blue,Orange,0.27447023208879917,0.0779436152570481,0.33102064517640517
