line,from_station,to_station,direction_id,observations
Mattapan,place-matt,place-butlr,1,7
Green,place-chhil,place-bcnfd,1,7
Green,place-esomr,place-north,0,7
Green,place-esomr,place-spmnl,0,6
Green,place-lake,place-sthld,1,6
Green,place-chill,place-sthld,1,6
Green,place-north,place-pktrm,0,6
Green,place-lech,place-haecl,0,6
Green,place-brkhl,place-rsmnl,0,6
Green,place-bcnfd,place-chhil,0,6
Green,place-pktrm,place-hymnl,0,6
Orange,place-rugg,place-forhl,0,6
Red,place-chmnl,place-cntsq,1,6
Green,place-bland,place-coecl,1,6
Green,place-coecl,place-nuniv,0,6
Orange,place-ogmnl,place-welln,0,6
Green,place-clmnl,place-tapst,1,6
Green,place-woodl,place-eliot,1,6
Green,place-mispk,place-brmnl,1,6
Green,place-sthld,place-chill,0,6
Orange,place-bbsta,place-chncl,1,6
Green,place-spmnl,place-haecl,0,6
Green,place-prmnl,place-armnl,1,6
Green,place-bcnfd,place-bvmnl,1,6
Green,place-sougr,place-wascm,1,5
Green,place-newtn,place-chhil,1,5
Green,place-gilmn,place-balsq,1,5
Green,place-unsqu,place-kencl,0,5
Green,place-sumav,place-kencl,1,5
Green,place-lake,place-chswk,1,5
Mattapan,place-matt,place-miltt,1,5
Red,place-pktrm,place-harsq,1,5
Green,place-grigg,place-brico,1,5
Green,place-babck,place-bucen,1,5
Green,place-spmnl,place-gover,0,5
Mattapan,place-capst,place-cedgr,1,5
Green,place-brkhl,place-kencl,1,5
Green,place-armnl,place-kencl,0,5
Orange,place-jaksn,place-grnst,0,5
Green,place-kencl,place-longw,0,5
Green,place-nuniv,place-lngmd,0,5
Orange,place-dwnxg,place-tumnl,0,5
Red,place-dwnxg,place-brdwy,0,5
Green,place-gover,place-nuniv,0,5
Green,place-river,place-chhil,1,5
Green,place-kntst,place-smary,1,5
Green,place-tapst,place-fbkst,1,5
Orange,place-forhl,place-sbmnl,1,5
Green,place-gover,place-lech,1,5
Orange,place-chncl,place-bbsta,0,5
Green,place-spmnl,place-nuniv,0,5
Green,place-river,place-coecl,1,5
Green,place-bvmnl,place-kencl,1,5
Green,place-buest,place-kencl,1,5
Green,place-rsmnl,place-river,0,5
Green,place-clmnl,place-rsmnl,1,5
Green,place-north,place-unsqu,1,5
Orange,place-sbmnl,place-rcmnl,1,5
Green,place-hymnl,place-river,1,5
Mattapan,place-cenav,place-cedgr,1,5
Mattapan,place-miltt,place-cedgr,1,4
Green,place-haecl,place-nuniv,0,4
Red,place-jfk,place-sstat,1,4
Red,place-smmnl,place-shmnl,1,4
Green,place-boyls,place-spmnl,1,4
Green,place-eliot,place-woodl,0,4
Green,place-hymnl,place-gover,1,4
Green,place-north,place-lech,1,4
Green,place-wrnst,place-grigg,1,4
Green,place-wascm,place-alsgr,1,4
Orange,place-sbmnl,place-forhl,0,4
Orange,place-masta,place-rcmnl,0,4
Green,place-wrnst,place-sthld,0,4
Green,place-waban,place-river,0,4
Green,place-river,place-newto,1,4
Green,place-cool,place-kencl,1,4
Mattapan,place-valrd,place-cedgr,1,4
Green,place-engav,place-bcnwa,1,4
Green,place-alsgr,place-wascm,0,4
Green,place-brkhl,place-fenwy,1,4
Green,place-bvmnl,place-fenwy,1,4
Green,place-balsq,place-esomr,0,4
Green,place-lake,place-pktrm,0,4
Green,place-boyls,place-haecl,1,4
Blue,place-bomnl,place-state,1,4
Orange,place-sbmnl,place-rugg,1,4
Orange,place-rcmnl,place-forhl,0,4
Green,place-mdftf,place-lngmd,1,4
Green,place-sougr,place-wrnst,1,4
Green,place-coecl,place-pktrm,1,4
Green,place-buest,place-amory,0,4
Green,place-north,place-armnl,0,4
Green,place-eliot,place-chhil,1,4
Green,place-hsmnl,place-lech,0,4
Green,place-hymnl,place-fenwy,0,4
Green,place-kencl,place-buest,0,4
Green,place-mdftf,place-north,0,4
Green,place-amory,place-brico,0,4
Green,place-mdftf,place-rvrwy,1,4
Green,place-prmnl,place-boyls,1,4
Green,place-clmnl,place-bcnwa,1,4
Orange,place-rugg,place-bbsta,1,4
Green,place-grigg,place-wrnst,0,4
Green,place-woodl,place-chhil,1,4
Green,place-woodl,place-newto,1,4
Green,place-lngmd,place-pktrm,1,4
Blue,place-aqucl,place-gover,0,4
Blue,place-state,place-mvbcl,1,4
Mattapan,place-cenav,place-butlr,1,4
Green,place-mdftf,place-spmnl,0,4
Green,place-clmnl,place-bcnfd,1,4
Mattapan,place-capst,place-cenav,1,4
Blue,place-orhte,place-aport,0,4
Green,place-rvrwy,place-hsmnl,0,4
Blue,place-orhte,place-mvbcl,0,4
Green,place-gilmn,place-lech,0,4
Mattapan,place-valrd,place-butlr,1,4
Green,place-unsqu,place-gover,0,4
Green,place-river,place-bcnfd,1,4
Green,place-chswk,place-wascm,1,4
Green,place-newto,place-eliot,0,4
Green,place-lech,place-armnl,0,4
Green,place-stpul,place-hwsst,1,4
Green,place-bland,place-lngmd,1,4
Green,place-stpul,place-smary,1,4
Green,place-haecl,place-mdftf,1,4
Green,place-kntst,place-cool,0,4
Green,place-sumav,place-stpul,1,4
Green,place-prmnl,place-mfa,0,3
Green,place-armnl,place-haecl,1,3
Green,place-armnl,place-gover,1,3
Green,place-smary,place-fenwy,0,3
Green,place-mdftf,place-boyls,0,3
Green,place-woodl,place-newtn,1,3
Green,place-mgngl,place-lech,0,3
Green,place-clmnl,place-fenwy,0,3
Green,place-pktrm,place-kencl,0,3
Green,place-coecl,place-haecl,1,3
Green,place-esomr,place-hsmnl,1,3
Green,place-unsqu,place-esomr,1,3
Green,place-hsmnl,place-gilmn,1,3
Green,place-chhil,place-river,0,3
Green,place-unsqu,place-mdftf,0,3
Blue,place-wimnl,place-aqucl,0,3
Green,place-wascm,place-chswk,0,3
Green,place-cool,place-kntst,1,3
Green,place-north,place-prmnl,0,3
Green,place-longw,place-brkhl,0,3
Blue,place-state,place-bomnl,0,3
Green,place-river,place-kencl,1,3
Green,place-harvd,place-wrnst,0,3
Green,place-lech,place-river,1,3
Green,place-spmnl,place-mdftf,1,3
Green,place-bckhl,place-prmnl,0,3
Green,place-coecl,place-bckhl,0,3
Green,place-spmnl,place-pktrm,0,3
Mattapan,place-cenav,place-capst,0,3
Green,place-rsmnl,place-pktrm,1,3
Green,place-harvd,place-alsgr,0,3
Green,place-sougr,place-chswk,1,3
Green,place-babck,place-kencl,1,3
Green,place-lake,place-prmnl,0,3
Green,place-north,place-nuniv,0,3
Green,place-bckhl,place-mispk,1,3
Green,place-clmnl,place-denrd,1,3
Orange,place-jaksn,place-forhl,0,3
Green,place-lech,place-pktrm,0,3
Green,place-gover,place-lake,0,3
Green,place-bcnwa,place-cool,1,3
Green,place-hwsst,place-kencl,1,3
Green,place-symcl,place-lech,1,3
Green,place-kntst,place-kencl,1,3
Mattapan,place-butlr,place-cenav,0,3
Green,place-lake,place-grigg,1,3
Mattapan,place-cenav,place-asmnl,1,3
Green,place-lech,place-gilmn,1,3
Orange,place-forhl,place-jaksn,1,3
Green,place-newto,place-bcnfd,1,3
Green,place-lngmd,place-prmnl,1,3
Green,place-bland,place-fenwy,0,3
Green,place-hwsst,place-stpul,0,3
Green,place-river,place-haecl,1,3
Green,place-bcnwa,place-bndhl,1,3
Red,place-knncl,place-pktrm,0,3
Green,place-wascm,place-lake,0,3
Green,place-sthld,place-wrnst,1,3
Orange,place-rcmnl,place-sbmnl,0,3
Orange,place-dwnxg,place-haecl,1,3
Green,place-bcnfd,place-fenwy,1,3
Red,place-brdwy,place-dwnxg,1,3
Red,place-pktrm,place-cntsq,1,3
Green,place-eliot,place-newto,1,3
Green,place-harvd,place-babck,1,3
Green,place-north,place-coecl,0,3
Green,place-alsgr,place-harvd,1,3
Green,place-bcnwa,place-engav,0,3
Green,place-newtn,place-bcnfd,1,3
Orange,place-state,place-north,1,3
Green,place-lngmd,place-mispk,0,2
Green,place-eliot,place-bcnfd,1,2
Green,place-north,place-river,1,2
Green,place-lake,place-mdftf,1,2
Green,place-hsmnl,place-mispk,1,2
Green,place-lech,place-balsq,0,2
Green,place-waban,place-newtn,1,2
Green,place-bcnfd,place-longw,1,2
Green,place-engav,place-cool,1,2
Green,place-woodl,place-haecl,1,2
Red,place-cntsq,place-alfcl,1,2
Green,place-sthld,place-lake,0,2
Green,place-bland,place-longw,1,2
Green,place-brico,place-grigg,0,2
Green,place-boyls,place-kencl,0,2
Green,place-hsmnl,place-lake,1,2
Green,place-kencl,place-armnl,1,2
Green,place-sougr,place-babck,1,2
Green,place-lake,place-longw,0,2
Green,place-spmnl,place-boyls,0,2
Green,place-lech,place-gover,0,2
Green,place-kencl,place-mfa,0,2
Green,place-gover,place-unsqu,1,2
Green,place-stpul,place-kencl,1,2
Green,place-chill,place-wrnst,1,2
Blue,place-wondl,place-orhte,0,2
Green,place-waban,place-newto,1,2
Orange,place-rcmnl,place-masta,1,2
Green,place-woodl,place-hymnl,1,2
Orange,place-haecl,place-dwnxg,0,2
Green,place-spmnl,place-fenwy,0,2
Green,place-gilmn,place-spmnl,0,2
Green,place-bcnfd,place-boyls,1,2
Green,place-amory,place-longw,0,2
Green,place-balsq,place-spmnl,0,2
Green,place-bland,place-armnl,1,2
Red,place-brntn,place-qnctr,1,2
Green,place-wascm,place-grigg,1,2
Green,place-nuniv,place-gover,1,2
Green,place-clmnl,place-cool,1,2
Green,place-pktrm,place-lech,1,2
Green,place-clmnl,place-bndhl,1,2
Green,place-boyls,place-hymnl,0,2
Green,place-spmnl,place-longw,0,2
Green,place-boyls,place-north,1,2
Green,place-newtn,place-waban,0,2
Mattapan,place-capst,place-butlr,1,2
Green,place-brmnl,place-rvrwy,0,2
Orange,place-masta,place-north,1,2
Orange,place-north,place-bbsta,1,2
Green,place-lngmd,place-kencl,1,2
Green,place-bcnfd,place-hymnl,1,2
Green,place-pktrm,place-coecl,0,2
Green,place-tapst,place-cool,1,2
Green,place-rsmnl,place-bvmnl,1,2
Green,place-haecl,place-armnl,0,2
Green,place-bucen,place-hymnl,1,2
Green,place-smary,place-sumav,0,2
Green,place-coecl,place-bland,0,2
Green,place-fenwd,place-prmnl,0,2
Green,place-gover,place-armnl,0,2
Green,place-bckhl,place-kencl,1,2
Green,place-bland,place-bckhl,1,2
Green,place-spmnl,place-river,1,2
Green,place-lech,place-kencl,0,2
Green,place-chswk,place-sougr,0,2
Green,place-prmnl,place-gover,1,2
